date,factor,rank_ic,number_of_stocks
2016-01-22,volume_trend_5_20,-0.05411056175047338,97
2016-01-22,amihud_illiq_20,-0.0780033662949716,97
2016-01-22,signed_volume_pressure_20,0.06457763517778245,97
2016-01-22,volume_cv_20,-0.15139122659373028,97
2016-01-22,return_volume_corr_20,0.002685838307107976,96
2016-01-22,close_location_value,0.13721596886177148,97
2016-01-22,body_range_ratio,-0.0077977067115505986,97
2016-01-22,gap_followthrough_20,0.23148537765621713,97
2016-01-22,cs_rank_ret20,-0.026115085209341467,97
2016-01-22,cs_rank_ret60,-0.1928650326109825,97
2016-01-22,cs_rank_vol20,-0.03363665053650326,97
2016-01-22,cs_rank_amihud20,-0.0780033662949716,97
2016-01-22,return_autocorr_20,-0.04852198611403324,97
2016-01-22,revenue_growth_yoy,0.08063506707493745,45
2016-01-22,gross_margin_change_yoy,0.12552165643786234,42
2016-01-22,operating_profitability,0.047544100430607986,62
2016-01-22,cashflow_to_assets,0.145647535371475,38
2016-01-22,debt_to_assets,0.008468365846242863,48
2016-01-22,asset_growth_yoy,-0.14543428420668997,69
2016-01-29,ret_1d,0.114178262999851,97
2016-01-29,ret_5d,0.010421084121545769,97
2016-01-29,ret_20d,-0.04736482221754681,97
2016-01-29,ret_60d,-0.09458499894803281,97
2016-01-29,ret_120d,,0
2016-01-29,momentum_20_5,-0.11287607826635808,97
2016-01-29,overnight_gap,0.11004891647380602,97
2016-01-29,intraday_return,0.08021249737008206,97
2016-01-29,ema20_distance,-0.04558962760361876,97
2016-01-29,ema60_distance,-0.09382232274353039,97
2016-01-29,ema20_60_spread,-0.10943088575636441,97
2016-01-29,rsi14_centered,-0.05708236903008626,97
2016-01-29,macd_hist_atr,-0.029284136334946344,97
2016-01-29,breakout_position_60,-0.06444613928045444,97
2016-01-29,trend_r2_20,-0.05195402903429413,97
2016-01-29,realized_vol_5,-0.04331474857984431,97
2016-01-29,realized_vol_20,-0.13573006522196507,97
2016-01-29,vol_ratio_5_20,0.0705212497370082,97
2016-01-29,parkinson_vol_20,-0.11079844308857562,97
2016-01-29,overnight_vol_20,-0.13892541552703555,97
2016-01-29,downside_vol_20,-0.08004155270355565,97
2016-01-29,volume_zscore_20,0.12931306543235851,97
2016-01-29,volume_trend_5_20,0.0706395960446034,97
2016-01-29,amihud_illiq_20,-0.04472175468125394,97
2016-01-29,signed_volume_pressure_20,-0.08158005470229329,97
2016-01-29,volume_cv_20,-0.03591152956027771,97
2016-01-29,return_volume_corr_20,-0.04522143909110035,97
2016-01-29,close_location_value,0.03342625710077845,97
2016-01-29,body_range_ratio,0.08879917946560067,97
2016-01-29,gap_followthrough_20,0.10025247212286974,97
2016-01-29,cs_rank_ret20,-0.04736482221754681,97
2016-01-29,cs_rank_ret60,-0.09458499894803281,97
2016-01-29,cs_rank_vol20,-0.13573006522196507,97
2016-01-29,cs_rank_amihud20,-0.04472175468125394,97
2016-01-29,return_autocorr_20,0.07266463286345466,97
2016-01-29,revenue_growth_yoy,-0.117856319442045,45
2016-01-29,gross_margin_change_yoy,0.08881325723427833,42
2016-01-29,operating_profitability,-0.21087621663448688,62
2016-01-29,cashflow_to_assets,-0.04125403518786331,38
2016-01-29,debt_to_assets,-0.07768097132034317,48
2016-01-29,asset_growth_yoy,-0.13544150020203485,69
2016-02-05,ret_1d,0.05417630969913738,97
2016-02-05,ret_5d,-0.08240847885545971,97
2016-02-05,ret_20d,-0.017410056806227644,97
2016-02-05,ret_60d,0.14244950557542604,97
2016-02-05,ret_120d,,0
2016-02-05,momentum_20_5,0.04840363980643803,97
2016-02-05,overnight_gap,0.20987471687309936,97
2016-02-05,intraday_return,-0.0273774458236903,97
2016-02-05,ema20_distance,-0.05787134441405428,97
2016-02-05,ema60_distance,0.05684567641489585,97
2016-02-05,ema20_60_spread,0.19237849779086888,97
2016-02-05,rsi14_centered,-0.020828950136755734,97
2016-02-05,macd_hist_atr,-0.1056701030927835,97
2016-02-05,breakout_position_60,-0.008744477172312222,97
2016-02-05,trend_r2_20,-0.11491426467494213,97
2016-02-05,realized_vol_5,-0.1603986955606985,97
2016-02-05,realized_vol_20,-0.18970913107511045,97
2016-02-05,vol_ratio_5_20,-0.10006837786661055,97
2016-02-05,parkinson_vol_20,-0.18630338733431515,97
2016-02-05,overnight_vol_20,-0.2008205343993267,97
