date,factor,rank_ic,number_of_stocks
2016-01-22,volume_trend_5_20,-0.22846097201767304,97
2016-01-22,amihud_illiq_20,0.11722859246791499,97
2016-01-22,signed_volume_pressure_20,-0.16890648011782028,97
2016-01-22,volume_cv_20,-0.07752998106459077,97
2016-01-22,return_volume_corr_20,0.10600922409115572,96
2016-01-22,close_location_value,0.028442562592047128,97
2016-01-22,body_range_ratio,0.03805491268672417,97
2016-01-22,gap_followthrough_20,0.26121660004207864,97
2016-01-22,cs_rank_ret20,-0.34799074268882807,97
2016-01-22,cs_rank_ret60,-0.2584683357879234,97
2016-01-22,cs_rank_vol20,0.2931569535030507,97
2016-01-22,cs_rank_amihud20,0.11722859246791499,97
2016-01-22,return_autocorr_20,0.06359141594782242,97
2016-01-22,revenue_growth_yoy,-0.11133436548745447,45
2016-01-22,gross_margin_change_yoy,0.2848344883015404,42
2016-01-22,operating_profitability,-0.07176943126442413,62
2016-01-22,cashflow_to_assets,0.022651419851161023,38
2016-01-22,debt_to_assets,-0.24655972867714793,48
2016-01-22,asset_growth_yoy,-0.12996099709162068,69
2016-01-29,ret_1d,0.05835807108065631,97
2016-01-29,ret_5d,-0.0042999299782277185,97
2016-01-29,ret_20d,0.018619819061645275,97
2016-01-29,ret_60d,0.016305491268672416,97
2016-01-29,ret_120d,,0
2016-01-29,momentum_20_5,0.04962655165158847,97
2016-01-29,overnight_gap,-0.01765989901115085,97
2016-01-29,intraday_return,0.07791131916684199,97
2016-01-29,ema20_distance,0.05330843677677256,97
2016-01-29,ema60_distance,0.09067957079739111,97
2016-01-29,ema20_60_spread,0.11041710498632443,97
2016-01-29,rsi14_centered,0.08398642962339575,97
2016-01-29,macd_hist_atr,-0.04186829370923627,97
2016-01-29,breakout_position_60,0.13169314117399536,97
2016-01-29,trend_r2_20,0.0,97
2016-01-29,realized_vol_5,-0.09207342730906795,97
2016-01-29,realized_vol_20,-0.2038054912686724,97
2016-01-29,vol_ratio_5_20,0.031203976435935196,97
2016-01-29,parkinson_vol_20,-0.22364822217546812,97
2016-01-29,overnight_vol_20,-0.25197243845992,97
