year,factor,mean_rank_ic,median_rank_ic,rank_ic_std,positive_ic_ratio,eligible_weeks
2016,amihud_illiq_20,0.03491229584814738,0.04461996115573044,0.1815758211072664,0.5769230769230769,52
2016,asset_growth_yoy,-0.029595109324089576,-0.044008453663741086,0.1314006776741886,0.34615384615384615,52
2016,body_range_ratio,0.0037265948108331087,0.01365593859400328,0.11003568833459167,0.5769230769230769,52
2016,breakout_position_60,-0.013320677868379175,0.0012893850136118177,0.14626712852998883,0.5192307692307693,52
2016,cashflow_to_assets,-0.03710377043718004,-0.03138507089875124,0.18133790291992827,0.40384615384615385,52
2016,close_location_value,-0.002642814750463236,0.015518190805331152,0.12001751531185288,0.5384615384615384,52
2016,cs_rank_amihud20,0.03491229584814738,0.04461996115573044,0.1815758211072664,0.5769230769230769,52
2016,cs_rank_ret20,-0.023772939049544306,-0.005956770654793726,0.14220780584883277,0.46153846153846156,52
2016,cs_rank_ret60,-0.022113766610554236,-0.019027456343362083,0.1395536646919191,0.46153846153846156,52
2016,cs_rank_vol20,0.04717908940393475,0.041769082047064365,0.17234349012494335,0.6538461538461539,52
2016,debt_to_assets,-0.028898201601490772,-0.027362094768481546,0.13679469388817866,0.4230769230769231,52
2016,downside_vol_20,0.05292333158687095,0.04597092401039311,0.1723899656263315,0.6346153846153846,52
2016,ema20_60_spread,-0.028839788487268578,-0.01805438670313486,0.15590936184004445,0.4423076923076923,52
2016,ema20_distance,-0.02222477528093852,-0.013055040197897338,0.13120506625499898,0.4807692307692308,52
2016,ema60_distance,-0.02627214814077005,-0.016512059369202227,0.13937355252436734,0.4423076923076923,52
2016,gap_followthrough_20,0.03993404239278435,0.04861621043780369,0.11796415875016622,0.6346153846153846,52
2016,gross_margin_change_yoy,-0.038290429212333624,-0.030235599336814373,0.15658009605753664,0.40384615384615385,52
2016,intraday_return,-0.008329730737663346,-0.005389627055149622,0.10781685837859314,0.46153846153846156,52
2016,macd_hist_atr,-0.012090663827626273,-0.02259789244230545,0.14061799823680213,0.40384615384615385,52
2016,momentum_20_5,-0.023004210755342987,-1.85528756957328e-05,0.14709770502893557,0.5,52
2016,operating_profitability,-0.03590952064145839,-0.04217143473238426,0.14673657173133517,0.4230769230769231,52
2016,overnight_gap,0.002923596912871316,-0.010499995680343705,0.12277215449293868,0.4423076923076923,52
2016,overnight_vol_20,-0.002974695776289136,-0.003358674133224068,0.16416261306572782,0.4807692307692308,52
2016,parkinson_vol_20,0.045713176998695884,0.04147157014738419,0.1869176725123746,0.5961538461538461,52
2016,realized_vol_20,0.04717908940393475,0.041769082047064365,0.17234349012494335,0.6538461538461539,52
2016,realized_vol_5,0.0404424976964043,0.025625432392450395,0.15005290239451102,0.5961538461538461,52
2016,ret_120d,-0.016266104057510812,0.006088260046286554,0.15373376181961643,0.5333333333333333,45
2016,ret_1d,-0.0005833063543549115,0.01973084943799034,0.11307068155443427,0.5384615384615384,52
2016,ret_20d,-0.023772939049544306,-0.005956770654793726,0.14220780584883277,0.46153846153846156,52
2016,ret_5d,-0.017521548006380706,-0.006436724174205764,0.13952997943643786,0.4230769230769231,52
2016,ret_60d,-0.022113766610554236,-0.019027456343362083,0.1395536646919191,0.46153846153846156,52
2016,return_autocorr_20,0.005050187253087524,0.02012669828943761,0.1140635938031362,0.5384615384615384,52
2016,return_volume_corr_20,-0.010716777851252274,0.00485936590385208,0.12415617110043926,0.5,52
2016,revenue_growth_yoy,-0.05813506258749811,-0.06471598850527256,0.15137678117133435,0.28846153846153844,52
2016,rsi14_centered,-0.026048859796756193,-0.016447846441167487,0.13268809779992854,0.4230769230769231,52
2016,signed_volume_pressure_20,-0.025288007655159712,-0.028559901356220198,0.11169339761718394,0.36538461538461536,52
2016,trend_r2_20,-0.012582051079431987,-0.017124408755713874,0.1154512673803801,0.4230769230769231,52
2016,vol_ratio_5_20,0.003540390468352502,0.0006317700463503114,0.10497105926567535,0.5192307692307693,52
2016,volume_cv_20,0.007419948638610347,0.005349586560261678,0.1533472513509187,0.5,52
2016,volume_trend_5_20,0.006829478092826025,-0.009878646523987357,0.1086937056366196,0.46153846153846156,52
2016,volume_zscore_20,0.004793731550870876,-0.000492049204920492,0.10537770804658526,0.4807692307692308,52
2017,amihud_illiq_20,0.045339545613378864,0.06036389178321065,0.18081529000447202,0.6538461538461539,52
2017,asset_growth_yoy,0.032237570397256075,0.038525009959229084,0.13294333321835675,0.6153846153846154,52
2017,body_range_ratio,-0.009001334644364516,-0.011368593928059605,0.10977667419142433,0.4807692307692308,52
2017,breakout_position_60,0.03728230601171666,0.043873518972651626,0.12193164763286489,0.6538461538461539,52
2017,cashflow_to_assets,0.015734137127008913,0.004011253285824084,0.16475069889168428,0.5192307692307693,52
2017,close_location_value,-0.013607662203861816,-0.01515316474678105,0.11254242570787751,0.4423076923076923,52
2017,cs_rank_amihud20,0.045339545613378864,0.06036389178321065,0.18081529000447202,0.6538461538461539,52
2017,cs_rank_ret20,0.03394353227049674,0.03443749528891475,0.13076286198013956,0.6153846153846154,52
2017,cs_rank_ret60,0.012922975686730445,-0.0017461416693899385,0.1582692723569442,0.5,52
2017,cs_rank_vol20,0.012236137745518367,0.012745274527452744,0.12545448354961106,0.5384615384615384,52
2017,debt_to_assets,0.009077723198639802,0.0067879344667503075,0.14556151193864253,0.5192307692307693,52
2017,downside_vol_20,-0.005250543551898464,-0.023276425447017045,0.12441848679463406,0.4423076923076923,52
2017,ema20_60_spread,0.01763664790285594,0.011581176101489463,0.14468170190085444,0.5769230769230769,52
2017,ema20_distance,0.023144833680045516,0.04699377443628727,0.12527112041531344,0.5961538461538461,52
2017,ema60_distance,0.021329044940008958,0.030270066565790506,0.1281454943800976,0.5961538461538461,52
2017,gap_followthrough_20,-0.005243286817073262,-0.017272755115420813,0.1265458541321097,0.46153846153846156,52
2017,gross_margin_change_yoy,-0.020853632321243647,-0.050951227978271285,0.1502984033741382,0.40384615384615385,52
2017,intraday_return,-0.012214096672254702,0.004569498912688423,0.10693990500805642,0.5192307692307693,52
2017,macd_hist_atr,0.011061337451201204,0.029813009338548448,0.1297383068116824,0.5769230769230769,52
2017,momentum_20_5,0.030573139473046428,0.049688767496435415,0.13154358181086784,0.6538461538461539,52
