factor,family,eligible_weeks,mean_rank_ic,median_rank_ic,ic_std,icir,annualized_icir,positive_ic_ratio,negative_ic_ratio,direction,q1,q2,q3,q4,q5,q5_q1,direction_adjusted_top_bottom,monotonicity,coverage,missing_rate,average_stocks_per_eligible_week,minimum_stocks_per_eligible_week,early_mean_ic,late_mean_ic,low_vix_mean_ic,high_vix_mean_ic,max_abs_correlation,evidence_score,evidence_flag,final_role,selection_reason
ret_1d,return_momentum,313,0.01167165701636378,0.012487286190533822,0.13764886563855613,0.08479297640571686,0.6114508484600407,0.5271565495207667,0.4728434504792332,positive,0.0003580043451463823,0.0005453175363755458,0.0007943992181537693,0.0008190945082176894,0.0010232688298879977,0.0006652644847416154,0.0006652644847416154,0.9999999999999999,1.0,0.0,99.76038338658147,97,0.011553735788234636,0.011788827153867896,0.01221490018541331,0.011124931519307525,0.8666186618661866,6,Strong,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
ret_5d,return_momentum,313,0.011600622651542611,0.015439590277868105,0.14875470822981737,0.07798491079435499,0.5623571891630641,0.5463258785942492,0.4536741214057508,positive,0.00033644068097714704,0.0006190643816030103,0.0010147790057636013,0.0008368781020648368,0.0007295177300539587,0.0003930770490768117,0.0003930770490768117,0.6,0.9999039231385108,9.607686148915828e-05,99.75079872204473,97,0.01588794909514714,0.007340604019680787,-0.0056307210984119305,0.028942423733227633,0.7293009300930093,5,Moderate,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
ret_20d,return_momentum,313,0.017586068128646267,0.020024062478525406,0.15078642444441528,0.11662898827559279,0.8410235948662764,0.5463258785942492,0.4536741214057508,positive,0.0002372351019862189,0.0006875484336560152,0.0007222103312121268,0.0009875212699196234,0.0009078043503597923,0.0006705692483735734,0.0006705692483735734,0.8999999999999998,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.02430470317390859,0.01091022693717543,0.023159598108529085,0.01197681039248215,1.0,6,Strong,core,Development-only evidence ordering; compact core also applies family diversity and redundancy
ret_60d,return_momentum,313,-0.004605679555498138,-0.013549395587806521,0.14980330399397224,-0.030744846293132896,-0.22170423953229923,0.46645367412140576,0.5335463258785943,negative,0.0005831830509718165,0.0008332890781951113,0.0009848463765441279,0.000624184609877928,0.000508101541839677,-7.50815091321395e-05,7.50815091321395e-05,-0.3,0.9988150520416333,0.0011849479583666556,99.64217252396166,97,0.008142222936605213,-0.017272385216441595,-0.0009518237158138819,-0.008282957548000878,1.0,2,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
ret_120d,return_momentum,306,-0.0023815689904979546,0.005966422252366199,0.16847789192856383,-0.014135795285875026,-0.1019346694453691,0.5098039215686274,0.49019607843137253,negative,0.00020756675053995737,0.0009469886937013755,0.0008291982784130048,0.0007979389156591258,0.0003874457763884065,0.00017987902584844914,0.00017987902584844914,0.0,0.9757245796637309,0.02427542033626906,99.56535947712419,96,0.0030770169350482664,-0.007562010410283862,-0.006051232574774179,0.0014851235110548452,0.7558955895589559,1,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
momentum_20_5,return_momentum,313,0.014182446290801837,0.01627967680678436,0.15119926266843853,0.09379970537225572,0.676399294686166,0.5399361022364217,0.46006389776357826,positive,0.0006641140718307484,0.0002503132788241849,0.0006362079880920272,0.0008718662360228356,0.001111047114736245,0.0004469330429054966,0.0004469330429054966,0.7,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.016577670005252995,0.011802478778353553,0.02973016047201226,-0.0014649327249035276,0.8467446744674467,5,Moderate,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
overnight_gap,gap_intraday,313,-0.0019128917003384954,-0.007320819932359581,0.13065721381604203,-0.014640536442417475,-0.10557440968687068,0.476038338658147,0.5239616613418531,negative,0.0008061129819331845,0.0007832945864899919,0.0005733200877203482,0.0006444307230702917,0.0007362307490461279,-6.98822328870566e-05,6.98822328870566e-05,-0.6,1.0,0.0,99.76038338658147,97,0.007611992251023962,-0.011377107601055333,-0.00409535568826241,0.00028356244135416405,0.2973126232015278,2,Weak,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
intraday_return,gap_intraday,313,0.010458367906075952,0.015169516951695168,0.13210155379955488,0.07916915134809861,0.5708968692410771,0.5591054313099042,0.44089456869009586,positive,0.00023559991399849765,0.000762018796514025,0.000750109271860045,0.0006959674996643281,0.0010963393981153462,0.0008607394841168486,0.0008607394841168486,0.6,1.0,0.0,99.76038338658147,97,0.004115909804053331,0.01676042818579269,0.012981823232806076,0.007918736583661655,0.9415386461833893,6,Strong,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
ema20_distance,trend,313,0.017576617923453823,0.020295247276101467,0.15164918003528832,0.11590315173061796,0.8357895131052517,0.5686900958466453,0.43130990415335463,positive,0.00024459658463292267,0.00046994602868116546,0.0009316486033832557,0.0010003989913900727,0.0008954727370819038,0.0006508761524489811,0.0006508761524489811,0.7,0.9996156925540433,0.00038430744595674415,99.72204472843451,97,0.025610799181187627,0.009593609794750163,0.013026220239583544,0.022156184823246352,0.9501950195019502,6,Strong,optional_horizon,Development-only evidence ordering; compact core also applies family diversity and redundancy
ema60_distance,trend,313,0.00625407434333608,0.0046984839438673634,0.1562434438332625,0.04002775534063502,0.28864424864477417,0.5079872204472844,0.49201277955271566,positive,0.0002910440372707191,0.0008851846005315721,0.0008062282758782506,0.0008315875673614876,0.0007209697407093256,0.0004299257034386065,0.0004299257034386065,0.09999999999999999,0.9988470776621297,0.0011529223378703435,99.64536741214057,97,0.016173424617422553,-0.0036020953557562075,0.004229202409069642,0.008291926225899101,0.8983498349834983,4,Moderate,candidate,Development-only evidence ordering; compact core also applies family diversity and redundancy
