candidate_id,hyperparameters,validation_mean_rank_ic,validation_median_rank_ic,validation_rank_ic_std,validation_positive_ic_ratio,validation_negative_ic_ratio,validation_icir,validation_annualized_icir,validation_ndcg5,validation_ndcg10,validation_ndcg20,validation_top5_return,validation_top10_return,validation_top5_bottom5_spread,validation_top10_bottom10_spread,validation_number_of_dates,factor_set_name
1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.000493835246556521,-0.00048603499389345537,0.15824061530128047,0.5,0.5,-0.0031207869459827925,-0.02250431470707925,0.49447365893926964,0.48607937411585844,0.513665421271491,-0.0019023747820778392,-0.0013544305052817349,-0.0021014892387482653,-0.0013381309854051473,104,core_5
2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.003503540289024509,-0.017689864325682605,0.15073528326258326,0.4519230769230769,0.5480769230769231,-0.023243000664424973,-0.1676076613824556,0.49680081093165296,0.4925703339265359,0.515522989560363,-0.0009079848523494599,-0.000927272424128391,-0.0012854609798918033,-0.0017661905562614524,104,core_5
0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.0038792138462545654,0.010225213995247378,0.1582836758052625,0.5480769230769231,0.4519230769230769,-0.024507984329522323,-0.17672958831672134,0.4885161421814309,0.48446626762364214,0.5104764602543491,-0.002623426555696158,-0.0013470386951954575,-0.003087491045351588,-0.0013939227963722914,104,core_5
2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.00014260362553926965,-0.0030543260990485454,0.14148400334700556,0.47115384615384615,0.5288461538461539,-0.0010079134189433282,-0.007268167026456774,0.5135002609949897,0.49670564086612445,0.5167659028490424,-0.00013877615511094637,-0.00041795151146968427,-2.124520916148574e-05,-0.000431000223163961,104,core_plus_fundamental
1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.00285331099988534,0.003765388159030215,0.1454467449890545,0.5,0.5,-0.01961756517892555,-0.14146427430474592,0.49038001623948496,0.4950366985127276,0.5175902983036216,-0.001972657666783296,-0.0005515707257583695,-0.002277341892060279,-0.0009246727970093767,104,core_plus_fundamental
0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.00564235622422637,0.0024876408253862287,0.14778289252146673,0.5096153846153846,0.49038461538461536,-0.03818003645724264,-0.2753201582913456,0.4916177432488715,0.5025874655295699,0.5186728179382522,-0.0022644248032005682,-0.0005169666542048089,-0.0025037014968338762,-0.0011051664781613125,104,core_plus_fundamental
2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.0020468903038689044,-0.03063306330633063,0.1589334328935107,0.4423076923076923,0.5576923076923077,-0.012878915824088259,-0.09287118275226955,0.49793927917924835,0.49290253035856446,0.5165531856698367,-0.0018835964504802885,-0.0014189422039522458,-0.0020470220549562573,-0.0018236980034288812,104,core_plus_horizon
1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.0024692884700777554,-0.009810981098109812,0.16050379911561824,0.4519230769230769,0.5480769230769231,-0.015384610729986608,-0.11094000568004037,0.5020029048872885,0.4897121349455844,0.5054432960493923,-0.0008256891503957021,-0.0010438781765570522,-0.0002061368522175841,-0.0009649455366649794,104,core_plus_horizon
0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.0030121376672403786,-0.02108361194435713,0.160694382374604,0.4519230769230769,0.5480769230769231,-0.01874451130605555,-0.1351685932949955,0.47399755308526653,0.4869813110628623,0.5095661327057742,-0.00271316886924063,-0.0010719416174122633,-0.0023353034338603096,-0.001162101659449885,104,core_plus_horizon
0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.0017203485151260378,-0.0019652738226501204,0.14889777390156406,0.5,0.5,-0.011553890095518526,-0.08331628634093514,0.4988048977908432,0.49851923317985747,0.5232930019211928,-0.0019004583640222473,-0.0009861976250620063,-0.0018539737932295832,-0.0012766216782637654,104,extended
2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.004070879346559466,-0.007158715871587157,0.1478744939582795,0.47115384615384615,0.5288461538461539,-0.02752928674574536,-0.19851650987747216,0.5049489995806993,0.4971334566842132,0.5158860740596225,-0.0012743327793831027,-0.0009061695375635876,-0.0013671059293390016,-0.0009464596617412638,104,extended
1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.00407678351719692,-0.004245432203020751,0.14738234332540243,0.4807692307692308,0.5192307692307693,-0.027661274920808353,-0.19946829014336123,0.49988675655654097,0.4989237323540081,0.5196770716481786,-0.0011305221679743548,-0.0009516495353650403,-0.0011899457602052973,-0.001373601573880354,104,extended
0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.000244937440075276,-0.019169348098610733,0.18231663163758022,0.4807692307692308,0.5192307692307693,0.0013434728245867176,0.009687920312479696,0.4862973479817168,0.4886040502351269,0.512872550374728,-0.0029153437402883115,-0.0017045176527146872,-0.0028190042074061543,-0.0017734361980266998,104,strong_only
1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.0012855360438825169,-0.013195319531953194,0.18982750963552505,0.47115384615384615,0.5288461538461539,-0.00677212721354659,-0.0488345038248146,0.4746190341468339,0.4862454427656325,0.5083964650186608,-0.003851906996721446,-0.001646543426172828,-0.003623978801598583,-0.0016576993741157832,104,strong_only
2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.005271728251145554,0.000582058205820582,0.19230337952975288,0.5,0.5,-0.027413601695595372,-0.19768229311723134,0.48663182608986777,0.4874731105872007,0.5125247290759135,-0.0023994493957252287,-0.0016939369022897187,-0.0019921355548234063,-0.0016668446552999929,104,strong_only
0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.014266998979071606,-0.008725084759252336,0.19562680974136365,0.4807692307692308,0.5192307692307693,-0.07292967154110354,-0.5259033404883913,0.4865190980100973,0.479417113290672,0.508894037436451,-0.003085229573657418,-0.0020913696204740055,-0.002543841149063486,-0.0022978098738645992,104,moderate_and_strong
1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.01799335059471165,-0.011257125712571255,0.19133120215730096,0.49038461538461536,0.5096153846153846,-0.09404294956511382,-0.6781533535057834,0.4737662468052477,0.48017997624662717,0.5038502823039627,-0.004035938668861415,-0.0020301742654329196,-0.003620942713502446,-0.0020669983623148817,104,moderate_and_strong
2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.018156124678861987,-0.01092711220725806,0.191740152788459,0.4519230769230769,0.5480769230769231,-0.09469130182081935,-0.6828286881108016,0.4865436255815195,0.4845940966210073,0.5086995465909848,-0.002124537735630294,-0.002171372951367202,-0.0017982220509874555,-0.002183066686506709,104,moderate_and_strong
0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.0017716088015534447,-0.013122669713182062,0.16314472896876644,0.4807692307692308,0.5192307692307693,-0.010859123753195936,-0.07830625499751381,0.48291860201305487,0.48370203752314933,0.5080418171321998,-0.0022950339754201536,-0.001563930298358974,-0.0017882402354421308,-0.0012768704259685823,104,top_3
