step,current_factor_set,candidate_factor,candidate_mean_rank_ic,candidate_icir,candidate_ndcg5,candidate_top5_bottom5_spread,delta_rank_ic,delta_icir,selected,reason
1,,macd_hist_atr,0.012557582756967936,0.10859043523087673,0.510003636881229,0.0007844430110632105,0.012557582756967936,0.10859043523087673,True,best robust development-fold improvement
1,,rsi14_centered,0.006404330524246437,0.05504388945835123,0.5125576214924015,0.0011403737248233256,0.006404330524246437,0.05504388945835123,False,not selected
1,,ema20_distance,-0.005340330269504996,-0.039837081323322934,0.4756520661329481,-0.0006020873610624315,-0.005340330269504996,-0.039837081323322934,False,not selected
1,,body_range_ratio,-0.007628943602280058,-0.07017398988102619,0.49273233233355207,-0.0005300582904069599,-0.007628943602280058,-0.07017398988102619,False,not selected
1,,ret_20d,-0.011105743532117258,-0.08241082143290661,0.4934732242634656,-0.0009568976998314249,-0.011105743532117258,-0.08241082143290661,False,not selected
1,,breakout_position_60,-0.011713301135924618,-0.0825295627305842,0.5023851502641552,-0.0008286037609023422,-0.011713301135924618,-0.0825295627305842,False,not selected
1,,ret_1d,-0.01444942429231293,-0.1077476198778453,0.48595292717842337,-0.0013578964437653785,-0.01444942429231293,-0.1077476198778453,False,not selected
1,,signed_volume_pressure_20,-0.016850988929462435,-0.16409506819016456,0.4893858186911092,-0.00017039162352835188,-0.016850988929462435,-0.16409506819016456,False,not selected
2,macd_hist_atr,signed_volume_pressure_20,0.0021895532841461314,0.02166191018234601,0.4944118756597806,-3.8267604244510795e-05,-0.010368029472821803,0.02166191018234601,False,not selected
2,macd_hist_atr,body_range_ratio,0.0019326336025496087,0.01718846848558258,0.5039393118899269,-0.00041192294302556807,-0.010624949154418327,0.01718846848558258,False,not selected
2,macd_hist_atr,rsi14_centered,0.0012939539735801339,0.011170101250293723,0.4908734871217332,-0.0008925471104095715,-0.011263628783387802,0.011170101250293723,False,not selected
2,macd_hist_atr,breakout_position_60,-0.0007383986393761821,-0.0058079165101532874,0.4758299377032385,-0.0011095577748651147,-0.013295981396344117,-0.0058079165101532874,False,not selected
2,macd_hist_atr,ema20_distance,-0.0017491553523068478,-0.013049782615643464,0.46951861589873867,-0.002301105914615918,-0.014306738109274783,-0.013049782615643464,False,not selected
2,macd_hist_atr,ret_1d,-0.00871112626721209,-0.06859997257676917,0.48435641561956627,-0.0010170846663192072,-0.021268709024180026,-0.06859997257676917,False,not selected
2,macd_hist_atr,ret_20d,-0.00972572930909187,-0.0799214421710245,0.4894171931966407,-0.0012862125571968628,-0.022283312066059806,-0.0799214421710245,False,not selected
