date,rank_ic,ndcg5,ndcg10,ndcg20,top5_return,top10_return,bottom5_return,bottom10_return,top5_bottom5_spread,top10_bottom10_spread,top5_hit_rate,number_of_stocks,prediction_score_std,factor_set_name,sample_mode,model_id
2024-01-05,-0.2094695753672055,0.448485633968094,0.5100398531088017,0.4718752453329002,-0.005360494628848378,-0.0028833981452870672,-0.0010109415995197266,-0.0015345887528864723,-0.004349553029328651,-0.001348809392400595,0.4,100,0.5050806999206543,all_eligible,common_sample,all_eligible_20240105
2024-01-12,-0.007290947826498797,0.6617122425565449,0.6309196779764209,0.5814364810077198,-0.015038366926353236,-0.00797836353209431,-0.0012493890134549887,-0.0051703159185909,-0.013788977912898247,-0.0028080476135034097,0.4,100,0.4547160267829895,all_eligible,common_sample,all_eligible_20240105
2024-01-19,-0.3283087706059487,0.42814653945093134,0.37784118572036046,0.3430129042148239,-0.01430852895904027,-0.012220605251483174,0.00031794001160716424,0.002544663790871408,-0.014626468970647434,-0.014765269042354581,0.2,100,0.4517851769924164,all_eligible,common_sample,all_eligible_20240105
2024-01-26,0.11983198319831982,0.39747357305687914,0.3826986413333688,0.4648549659491377,-0.00722456725273352,-0.006738526540312735,0.0005265317687143892,-0.0023010238326469836,-0.007751099021447909,-0.004437502707665752,0.2,100,0.45430412888526917,all_eligible,common_sample,all_eligible_20240105
2024-02-02,0.06346234623462345,0.426225639391128,0.421972343196645,0.5231847606154549,-0.007623457127117992,-0.022028277711014014,-0.005402518424011943,-0.006109913550974498,-0.0022209387031060486,-0.015918364160039517,0.4,100,0.4455700218677521,all_eligible,common_sample,all_eligible_20240202
2024-02-09,-0.22450712423480657,0.03835459358298548,0.24393196097387332,0.32352829907097025,-0.022389304774141174,-0.005097479790545111,-0.00045237317359135017,-0.002008642273321923,-0.021936931600549825,-0.0030888375172231884,0.0,100,0.4298476576805115,all_eligible,common_sample,all_eligible_20240202
2024-02-16,0.0676987698769877,0.5495924814844089,0.536912359857441,0.5492014627279985,0.003809708178564046,0.003737769593869083,0.00635149605735284,0.00441409018667228,-0.002541787878788794,-0.0006763205928031969,0.6,100,0.4630894958972931,all_eligible,common_sample,all_eligible_20240202
2024-02-23,0.010129012901290127,0.6352758916971932,0.6240347690106155,0.6250519487459691,0.003139930359427151,0.002184847590164212,0.0009454457167719936,-5.115099999240705e-06,0.0021944846426551574,0.0021899626901634526,0.6,100,0.4474680423736572,all_eligible,common_sample,all_eligible_20240202
2024-03-01,-0.21060906090609058,0.6653060079066798,0.6291421444091969,0.5066265963956532,0.004804241177071514,0.005175392959898525,0.005786953095379921,0.004110352115448925,-0.0009827119183084074,0.0010650408444496003,0.8,100,0.4288327693939209,all_eligible,common_sample,all_eligible_20240301
2024-03-08,0.15354335433543354,0.7311191383627741,0.641212596007702,0.6506066327191927,0.03134943933846277,0.017053039695819096,0.008822827072343543,0.006179940080654853,0.02252661226611923,0.010873099615164243,0.8,100,0.4440329968929291,all_eligible,common_sample,all_eligible_20240301
2024-03-15,-0.25650165016501647,0.5861614180929781,0.4780857802448035,0.5070727263629267,-0.005211304253324811,-0.017037717124575254,-0.004795240981148526,-0.005224240521170187,-0.0004160632721762845,-0.011813476603405067,0.4,100,0.46864473819732666,all_eligible,common_sample,all_eligible_20240301
2024-03-22,0.14996699669966995,0.529634717214042,0.5927277065238059,0.5452583877774067,-0.003165932845387962,0.003954941602313238,-0.005201820315188989,-0.0034737404185742594,0.0020358874698010268,0.007428682020887497,0.6,100,0.4621453881263733,all_eligible,common_sample,all_eligible_20240301
2024-03-28,-0.05761776177617762,0.6399453854227659,0.6401378284669004,0.568342088715316,0.015114791931491076,0.014242522092948262,0.0008412298726452596,0.0007229328217878408,0.014273562058845817,0.013519589271160423,0.6,100,0.4677183926105499,all_eligible,common_sample,all_eligible_20240301
2024-04-05,-0.10295860473675124,0.4416968098241518,0.48342076544404294,0.5144706315080533,0.008524184769895058,-0.0010815429947193065,-0.011122344040259894,-0.009228049039296377,0.019646528810154953,0.00814650604457707,0.2,100,0.4565097987651825,all_eligible,common_sample,all_eligible_20240405
2024-04-12,0.12595259525952593,0.6563318357443002,0.5244147919753659,0.5572355440138828,0.00028887203863977586,0.002103633715598655,0.005240935219579343,0.009237841352347459,-0.004952063180939567,-0.007134207636748803,0.6,100,0.4466732144355774,all_eligible,common_sample,all_eligible_20240405
2024-04-19,0.12427242724272425,0.3479797636234725,0.41969425562420964,0.5015859906000129,-0.00791520855529105,0.009467775103453074,0.003409372114683235,0.0016658218094403872,-0.011324580669974285,0.007801953294012686,0.6,100,0.4332289695739746,all_eligible,common_sample,all_eligible_20240405
2024-04-26,-0.07026787000650059,0.7622180874589496,0.6185370194828538,0.5563695298479444,0.0026119260347797603,-0.009444289750001398,-0.0005349052328422315,0.00024484037176042634,0.003146831267621992,-0.009689130121761824,0.6,100,0.4479007124900818,all_eligible,common_sample,all_eligible_20240405
2024-05-03,-0.3400300030003,0.07289170972907877,0.15663191760735568,0.2316461203570378,-0.024958523866291892,-0.015576971192472446,0.004984616409491023,0.004705534597903024,-0.029943140275782917,-0.02028250579037547,0.2,100,0.44839397072792053,all_eligible,common_sample,all_eligible_20240503
2024-05-10,-0.29000900090008996,0.5004362366361891,0.4554184173526065,0.45426777134524005,-0.01273200587059401,-0.013031253856684133,-0.002015639928982513,-0.0011916220507192953,-0.010716365941611496,-0.011839631805964838,0.2,100,0.478895902633667,all_eligible,common_sample,all_eligible_20240503
2024-05-17,0.03733584559226403,0.7655006307664334,0.6528900210021948,0.6728748531696764,0.016489380169503274,0.006914332215677393,-0.0028251907311222604,-0.004214552676625722,0.019314570900625536,0.011128884892303115,0.6,100,0.45153477787971497,all_eligible,common_sample,all_eligible_20240503
2024-05-24,-0.16906090609060903,0.30078518014914984,0.32753501126363715,0.41348419549831783,0.011828523159879055,0.011617302202644684,0.011466421669061169,0.014518900524828062,0.0003621014908178864,-0.002901598322183379,0.4,100,0.4144214987754822,all_eligible,common_sample,all_eligible_20240503
2024-05-31,-0.12102010201020101,0.551514366031906,0.5061033793230515,0.47725649025457223,0.00883945804969467,0.0007320034368347893,-0.005711544125408116,-0.005642293663698691,0.014551002175102787,0.00637429710053348,0.4,100,0.36848020553588867,all_eligible,common_sample,all_eligible_20240503
2024-06-07,-0.29004500450045,0.21048000934028627,0.16072720324285708,0.3009772249531299,-0.011852676315927823,-0.02597835515040194,0.0016729624630963925,0.0029133042580090154,-0.013525638779024216,-0.028891659408410954,0.0,100,0.38949260115623474,all_eligible,common_sample,all_eligible_20240607
