year,mean_rank_ic,median_rank_ic,rank_ic_std,positive_ic_ratio,negative_ic_ratio,icir,annualized_icir,mean_ndcg5,mean_ndcg10,mean_ndcg20,mean_top5_return,mean_top10_return,mean_top5_bottom5_spread,mean_top10_bottom10_spread,number_of_dates,factor_set_name,sample_mode
2024,-0.06596536100052514,-0.05738973897389739,0.16313366841539476,0.36538461538461536,0.6346153846153846,-0.4043638670133654,-2.9159093129231812,0.4920627613611503,0.47722541960863235,0.4972967723011237,-0.0008406416111871194,-0.0024181232581947324,-0.0020885428064861865,-0.003219041236367195,52,all_eligible,common_sample
2025,-0.042392393804576975,-0.037528203161456414,0.20582692240592085,0.4230769230769231,0.5769230769230769,-0.2059613645729637,-1.485208521464706,0.49060963158740906,0.4791575884312912,0.5025571769379246,-0.001705989904951515,-0.0015942026830700064,-0.002552471743595553,-0.002601002854466984,52,all_eligible,common_sample
2026,0.003123864628428092,0.013405424792420736,0.15206829279868764,0.5588235294117647,0.4411764705882353,0.02054251133445388,0.1481341558863473,0.4569160662078052,0.46541823701035406,0.4975185430109235,-0.0005182701415454768,-0.0007774399096386691,-0.0012108496641485254,-0.002182095870706123,34,all_eligible,common_sample
2024,-0.06596536100052514,-0.05738973897389739,0.16313366841539476,0.36538461538461536,0.6346153846153846,-0.4043638670133654,-2.9159093129231812,0.4920627613611503,0.47722541960863235,0.4972967723011237,-0.0008406416111871194,-0.0024181232581947324,-0.0020885428064861865,-0.003219041236367195,52,all_eligible,native_coverage
2025,-0.042392393804576975,-0.037528203161456414,0.20582692240592085,0.4230769230769231,0.5769230769230769,-0.2059613645729637,-1.485208521464706,0.49060963158740906,0.4791575884312912,0.5025571769379246,-0.001705989904951515,-0.0015942026830700064,-0.002552471743595553,-0.002601002854466984,52,all_eligible,native_coverage
2026,0.003123864628428092,0.013405424792420736,0.15206829279868764,0.5588235294117647,0.4411764705882353,0.02054251133445388,0.1481341558863473,0.4569160662078052,0.46541823701035406,0.4975185430109235,-0.0005182701415454768,-0.0007774399096386691,-0.0012108496641485254,-0.002182095870706123,34,all_eligible,native_coverage
2024,-0.03873775504225745,-0.03686789863886207,0.12715727773901742,0.38461538461538464,0.6153846153846154,-0.3046444193447137,-2.196822149462638,0.501037379071077,0.4841249553656222,0.5044428722942165,-0.00012166428202024736,-0.0018712988828658175,-0.0014377825484388515,-0.0030873554439369466,52,core_5,common_sample
2025,-0.005127403187935165,-0.016315683270427893,0.13138341636427125,0.46153846153846156,0.5384615384615384,-0.039026258639210755,-0.2814223532263877,0.4911974151360571,0.48299771470177927,0.5090409156647708,0.00226375612862466,0.0010118128493437,0.0018515367845190049,0.0009294210501067973,52,core_5,common_sample
2026,-0.01907527971969697,-0.028970966529908763,0.1114913249220452,0.4411764705882353,0.5588235294117647,-0.17109205342240227,-1.233762342877791,0.49067665938914223,0.49439044184401515,0.5112825668596223,-0.0022296200864053185,0.00013053578998558057,-0.0024208837644748146,-1.193367827769649e-05,34,core_5,common_sample
2024,-0.03873775504225745,-0.03686789863886207,0.12715727773901742,0.38461538461538464,0.6153846153846154,-0.3046444193447137,-2.196822149462638,0.501037379071077,0.4841249553656222,0.5044428722942165,-0.00012166428202024736,-0.0018712988828658175,-0.0014377825484388515,-0.0030873554439369466,52,core_5,native_coverage
