factor,family,eligible_weeks,mean_rank_ic,median_rank_ic,ic_std,icir,annualized_icir,positive_ic_ratio,negative_ic_ratio,direction,q1,q2,q3,q4,q5,q5_q1,direction_adjusted_top_bottom,monotonicity,coverage,missing_rate,average_stocks_per_eligible_week,minimum_stocks_per_eligible_week,early_mean_ic,late_mean_ic,low_vix_mean_ic,high_vix_mean_ic,max_abs_correlation,evidence_score,evidence_flag,final_role,selection_reason
ret_1d,return_momentum,156,-0.016106665248191918,-0.009022762095480493,0.12369315437081893,-0.13021468593084665,-0.9389914538842138,0.47435897435897434,0.5256410256410257,negative,0.00044771824008810955,0.000371804876919508,0.00119036786915676,0.0005740642149229489,2.0126155068637713e-05,-0.00042759208501947184,0.00042759208501947184,-0.19999999999999998,1.0,0.0,99.51923076923077,97,-0.013835793750487437,-0.0183775367458964,-0.01621641460913142,-0.015996915887252418,0.8633946056104749,5,Moderate,core,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
ret_5d,return_momentum,156,-0.01670897192595531,-0.018286064661019997,0.13131982124580624,-0.12723876538545711,-0.9175317856479963,0.4551282051282051,0.5448717948717948,negative,0.0006721423411032304,0.0006883419729642774,0.002286484214937127,-0.0009700921613841609,-0.00010970080001647505,-0.0007818431411197055,0.0007818431411197055,-0.49999999999999994,0.9998067632850242,0.00019323671497584183,99.5,97,-0.012103039381671782,-0.02131490447023884,-0.027267597487293675,-0.00615034636461695,0.729671333480918,5,Moderate,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
ret_20d,return_momentum,156,0.0034871579121366772,0.008836924508777409,0.13781384299733124,0.025303393594533215,0.18246536609667313,0.532051282051282,0.46794871794871795,positive,0.0010356167700139212,-5.799902458114516e-05,0.0002144408905540981,0.0007723994099973703,0.000721183172673886,-0.0003144335973400352,0.0003144335973400352,-0.09999999999999999,0.9992270531400966,0.0007729468599033673,99.4423076923077,97,-0.002537320721657534,0.009511636545930884,0.006935120500915225,3.9195323358129864e-05,1.0,2,Weak,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
ret_60d,return_momentum,156,0.01276462869360849,0.01716171617161716,0.16039365370709294,0.07958312812624713,0.5738820982420088,0.5384615384615384,0.46153846153846156,positive,0.00052214378248322,-0.00010905223212208684,0.0010752138214623456,-4.7105765982725e-05,0.0011563292965314693,0.0006341855140482493,0.0006341855140482493,0.49999999999999994,0.9976167471819646,0.0023832528180354196,99.28205128205128,97,-0.009851975231196524,0.03538123261841349,0.01313259216284584,0.012396665224371144,1.0,4,Moderate,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
ret_120d,return_momentum,149,0.017653162763972906,0.012939196297075531,0.17683472910693293,0.09982859618767499,0.7198742446245022,0.5436241610738255,0.4563758389261745,positive,0.00013547568990226295,-0.00025325269143498705,0.00010291360320693869,0.0013546487807975787,0.0008035361662317095,0.0006680604763294465,0.0006680604763294465,0.6,0.9511755233494364,0.04882447665056355,99.10738255033557,96,-0.0070555964761311995,0.04014446925175997,-0.0007567719506774692,0.03787816146457472,0.7695529552955296,4,Moderate,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
momentum_20_5,return_momentum,156,0.011401176751926154,0.010902922756853964,0.1349491403906122,0.08448498981857376,0.6092299255958415,0.5128205128205128,0.48717948717948717,positive,0.0007419915131939276,0.00011153580791436579,0.0003814795410310175,0.0005666367013562914,0.0008899918575620049,0.00014800034436807737,0.00014800034436807737,0.39999999999999997,0.9992270531400966,0.0007729468599033673,99.4423076923077,97,-0.0019686996018160484,0.024771053105668354,0.0228446583713861,-4.230486753378924e-05,0.8470327032703271,2,Weak,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
overnight_gap,gap_intraday,156,-0.010970430945664593,0.0025474414183088547,0.1294548264437377,-0.08474331353286736,-0.6110927243909493,0.5064102564102564,0.4935897435897436,negative,0.0014740222990079497,0.0005657636979470487,0.000896139099694262,7.901234855349136e-05,-0.0004130681948833992,-0.001887090493891349,0.001887090493891349,-0.8999999999999998,1.0,0.0,99.51923076923077,97,-9.232717693887981e-06,-0.021931629173635298,-0.025201897509049675,0.0032610356177204813,0.2836857506662464,5,Moderate,core,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
intraday_return,gap_intraday,156,-0.01544363472226479,-0.013675449850697146,0.13459469576355926,-0.11474177815591205,-0.8274147291581095,0.4423076923076923,0.5576923076923077,negative,-0.00019022187575835404,0.001476575811238196,0.0007409276457897285,0.0008518822492501155,-0.0002714129235893785,-8.119104783102445e-05,8.119104783102445e-05,-0.3,1.0,0.0,99.51923076923077,97,-0.01793789196765693,-0.012949377476872645,-0.007670727551109489,-0.023216541893420095,0.9415336978741677,4,Moderate,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
ema20_distance,trend,156,-0.002919904573452854,0.0031563156315631558,0.14003740634585868,-0.02085089012746632,-0.15035790698729137,0.5064102564102564,0.4935897435897436,negative,0.0005007644783002091,8.832380788799014e-05,0.001500812628593209,-0.00011982625706624405,0.0007191496453047479,0.00021838516700453876,0.00021838516700453876,0.09999999999999999,0.9992270531400966,0.0007729468599033673,99.4423076923077,97,0.00023087939142322225,-0.006070688538328925,-0.007840185841927807,0.002000376695022098,0.952173992909495,1,Weak,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
ema60_distance,trend,156,0.008320512684536716,0.015967047735701404,0.1564612248477071,0.05317939120466147,0.3834820435727312,0.532051282051282,0.46794871794871795,positive,0.0006814024988293211,1.2787621696954103e-05,0.0002525293712360911,0.0003939904202152628,0.0012703871682222569,0.0005889846693929358,0.0005889846693929358,0.39999999999999997,0.9976811594202899,0.002318840579710102,99.28846153846153,97,-0.004869587388988147,0.021510612758061584,0.007874798695270111,0.00876622667380332,0.9014761476147615,4,Moderate,candidate,Warmup-only evidence ordering; compact core also applies family diversity and redundancy
