factor_set_name,number_of_features,feature_list,sample_mode,objective,n_relevance_bins,param_id,hyperparameters,cv_mean_rank_ic,cv_median_rank_ic,cv_rank_ic_std,cv_positive_ic_ratio,cv_negative_ic_ratio,cv_icir,cv_annualized_icir,cv_ndcg5,cv_ndcg10,cv_ndcg20,cv_top5_return,cv_top10_return,cv_bottom5_return,cv_bottom10_return,cv_top5_bottom5_spread,cv_top10_bottom10_spread,cv_number_of_dates,cv_prediction_score_std
extended,7,"[""signed_volume_pressure_20"", ""ret_1d"", ""vol_ratio_5_20"", ""overnight_gap"", ""close_location_value"", ""cashflow_to_assets"", ""return_volume_corr_20""]",common_sample,rank:ndcg,20,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.000520379297815988,-0.01251125112511251,0.1295977795085694,0.4326923076923077,0.5673076923076923,0.004015341156223891,0.0289550368544922,0.5308722549962634,0.5197515906103057,0.5307283569733404,0.002341273476603938,-0.0003320731422296753,0.00014924895925129652,0.0002653212258976858,0.0021920245173526415,-0.0005973943681273612,104,0.31604362995578694
top_15,15,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20""]",common_sample,rank:ndcg,5,2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",0.00039348943370799694,-0.012787278727872785,0.1689514549241364,0.46153846153846156,0.5384615384615384,0.0023290088498183334,0.01679472165805882,0.5050387509952236,0.502589829832298,0.4959704926892294,-0.0014766770126397014,-0.00011186162401906982,-3.204374394496976e-05,-0.00015586611958184305,-0.0014446332686947328,4.4004495562773374e-05,104,0.38311552800811255
top_15,15,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20""]",common_sample,rank:ndcg,20,1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.00034415768910289957,0.005247538948378161,0.17043374961692973,0.5096153846153846,0.49038461538461536,0.002019304802460987,0.01456141401212754,0.47883545398803634,0.49211539970819085,0.5211697088220125,-0.004895729085167898,-0.003390959784959564,0.0014942096976090424,0.00031155057037754664,-0.006389938782776942,-0.003702510355337111,104,0.605738779100088
core_plus_fundamental,6,"[""signed_volume_pressure_20"", ""ret_1d"", ""vol_ratio_5_20"", ""overnight_gap"", ""close_location_value"", ""cashflow_to_assets""]",common_sample,rank:ndcg,20,2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",0.0002592346818507428,-0.02455445544554455,0.13697860834038683,0.4519230769230769,0.5480769230769231,0.0018925194597287345,0.013647151903730717,0.5102711171556682,0.5163677000966275,0.5340919166956295,-0.0008622790133869048,-0.0003707686551006115,0.0008477761168993144,0.0009582000014588302,-0.0017100551302862198,-0.0013289686565594418,104,0.4556379940074224
strong_only,3,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20""]",common_sample,rank:ndcg,10,2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",0.00010524766147595583,0.0016621641281946006,0.11348981949212511,0.5,0.5,0.0009273753535510628,0.006687398777659804,0.48900303482345825,0.48493526877024884,0.5095858854646825,-0.0015285886194492137,-0.001402138134344384,-0.0009665489876636602,-0.0008573682784137031,-0.0005620396317855529,-0.0005447698559306811,104,0.20829041302204132
top_3,3,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20""]",common_sample,rank:ndcg,10,2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",0.00010524766147595583,0.0016621641281946006,0.11348981949212511,0.5,0.5,0.0009273753535510628,0.006687398777659804,0.48900303482345825,0.48493526877024884,0.5095858854646825,-0.0015285886194492137,-0.001402138134344384,-0.0009665489876636602,-0.0008573682784137031,-0.0005620396317855529,-0.0005447698559306811,104,0.20829041302204132
all_eligible,31,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20"", ""volume_trend_5_20"", ""gap_followthrough_20"", ""downside_vol_20"", ""momentum_20_5"", ""trend_r2_20"", ""macd_hist_atr"", ""ret_20d"", ""realized_vol_20"", ""ema20_distance"", ""return_autocorr_20"", ""parkinson_vol_20""]",common_sample,rank:pairwise,10,2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",-0.0009077723875728051,-0.017977797779777975,0.1621492337053864,0.4519230769230769,0.5480769230769231,-0.005598376056603282,-0.04037046386282604,0.487730003330715,0.4961934670688745,0.5181971886235537,-0.0038356368516633617,-0.0017661665359297019,0.0003984976330874488,0.00021807605056780823,-0.004234134484750811,-0.001984242586497509,104,0.24762390009485757
top_15,15,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20""]",common_sample,rank:ndcg,10,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.0013880055935623016,0.005250525052505251,0.1721075565279896,0.5,0.5,-0.008064756839055887,-0.05815578861472976,0.4845661680940142,0.4811814709489053,0.5122903189649826,-0.0022668685919512935,-0.0029480031332698043,0.0002728572227506408,0.000367310673472036,-0.0025397258147019357,-0.0033153138067418394,104,0.3896932418529804
all_eligible,31,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20"", ""breakout_position_60"", ""realized_vol_5"", ""rsi14_centered"", ""ema60_distance"", ""overnight_vol_20"", ""volume_trend_5_20"", ""gap_followthrough_20"", ""downside_vol_20"", ""momentum_20_5"", ""trend_r2_20"", ""macd_hist_atr"", ""ret_20d"", ""realized_vol_20"", ""ema20_distance"", ""return_autocorr_20"", ""parkinson_vol_20""]",common_sample,rank:pairwise,5,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.001457007643645087,-0.013039303930393037,0.16387165765935974,0.46153846153846156,0.5384615384615384,-0.008891150943708466,-0.06411500125086182,0.5261929607269822,0.5072558277184913,0.5074997621160248,0.0024724887713487454,-0.0004298287890432796,0.002189721364560214,0.0010360456071992507,0.00028276740678853115,-0.0014658743962425308,104,0.10979071556805418
top_15,15,"[""signed_volume_pressure_20"", ""return_volume_corr_20"", ""volume_cv_20"", ""ret_1d"", ""ret_5d"", ""vol_ratio_5_20"", ""overnight_gap"", ""volume_zscore_20"", ""close_location_value"", ""intraday_return"", ""ret_120d"", ""ema20_60_spread"", ""body_range_ratio"", ""ret_60d"", ""amihud_illiq_20""]",common_sample,rank:ndcg,20,0,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",-0.0017144500615223469,0.006006607555476045,0.17358407814893378,0.5096153846153846,0.49038461538461536,-0.009876770264905068,-0.07122240325218654,0.4730874851202212,0.4927734667531269,0.5218608182492515,-0.005020015260543954,-0.0028730395183140115,0.0007345194244776078,7.847954740422853e-05,-0.00575453468502156,-0.0029515190657182404,104,0.5399148788016576
