date,rank_ic,ndcg5,ndcg10,ndcg20,top5_return,top10_return,bottom5_return,bottom10_return,top5_bottom5_spread,top10_bottom10_spread,top5_hit_rate,number_of_stocks,prediction_score_std
2024-01-05,0.015025547631473662,0.5614038180827959,0.5153113236727639,0.5422598188052683,-0.0017747251134348039,-0.006345867708138474,-0.007507548823715127,-0.0053093508424305776,0.005732823710280323,-0.0010365168657078963,0.4,100,0.08469370752573013
2024-01-12,-0.02641543401831087,0.7003109543255518,0.6362123863529774,0.6175074044252948,0.0007541209940771937,-0.00027003100017897826,-0.003799668967946296,-0.0048198432407791985,0.0045537899620234894,0.004549812240600221,0.4,100,0.0966084897518158
2024-01-19,-0.2567567567752474,0.48742084950794295,0.45226692886235176,0.4274795591131764,-0.0046423102653949215,-0.005547955041390501,-0.0015528651722774873,-9.219173645304132e-05,-0.0030894450931174345,-0.00545576330493746,0.6,100,0.09339526295661926
2024-01-26,-0.05747374737473747,0.12818705849014295,0.313583373765064,0.40744964524121724,-0.0153853092281413,-0.002834422304570218,-0.0017844514353603808,-0.0004110010787444421,-0.01360085779278092,-0.002423421225825776,0.2,100,0.09231224656105042
2024-02-02,0.14168616861686165,0.9385392811102062,0.8404748023349312,0.7157907810212547,0.016640195747216716,0.009085806727768464,-0.0113391899977346,-0.013359300912884809,0.027979385744951315,0.022445107640653272,1.0,100,0.07932677865028381
2024-02-09,-0.11176151143618089,0.19351195257419476,0.3500203335194669,0.44034364147842986,-0.009422053101101883,-0.002784937576086581,0.004736193107472463,0.0031084123346583744,-0.014158246208574346,-0.005893349910744956,0.0,100,0.08536406606435776
2024-02-16,-0.10745874587458745,0.6121289541918574,0.5931259056993311,0.563410443609252,0.007717433424277965,0.0067215377692581586,0.009954100860960408,0.006080905387889256,-0.0022366674366824423,0.000640632381368903,0.6,100,0.07976026087999344
2024-02-23,-0.002796279627962796,0.4729990903500379,0.4550112205660303,0.5235858071755072,0.0013689023914953062,-0.0003467847995050104,0.011580708449264187,0.00623704877250964,-0.01021180605776888,-0.00658383357201465,0.6,100,0.08542736619710922
2024-03-01,0.25336933693369335,0.6678717271264363,0.6130997505135989,0.6220752861016091,0.005232272887773734,0.004169504766671897,-0.00474710874015222,-0.0036427101456272164,0.009979381627925953,0.0078122149122991135,0.8,100,0.08483703434467316
2024-03-08,-0.22087008700870087,0.6304984819164632,0.4623821606615625,0.4320605482195173,0.010746411328567995,-7.354070596006581e-05,0.008224831730408388,0.007794103977276086,0.0025215795981596064,-0.007867644683236152,0.6,100,0.08272339403629303
2024-03-15,0.18456645664566454,0.35972200194762544,0.4414960666744189,0.43486200112142465,-0.008894506965041205,-0.006075329940258482,-0.01388946874741189,-0.015472491955749651,0.004994961782370685,0.009397162015491168,0.0,100,0.07120540738105774
2024-03-22,0.1442904290429043,0.5370245185296774,0.5820684878766944,0.5678321006686319,-0.008003847621667568,-0.004053951744822315,-0.008345779740780922,-0.0064066989776701885,0.00034193211911335425,0.0023527472328478734,0.6,100,0.09147614240646362
2024-03-28,-0.0927212721272127,0.5910740455168781,0.5329446684626645,0.577567715624972,0.0004713613580637446,0.0001274139007769147,0.009735909947120935,0.005767538423611921,-0.00926454858905719,-0.005640124522835006,0.4,100,0.08895059674978256
2024-04-05,0.17484000852166456,0.5255731215911286,0.540421547348407,0.5955947428966294,-0.008588174847818883,-0.0012455045011915578,-0.01571445290782266,-0.01721468352773441,0.007126278060003778,0.01596917902654285,0.2,100,0.07365000247955322
2024-04-12,-0.09789378937893789,0.41874630825977754,0.397982024661107,0.5128902098541226,0.011319114700684722,0.009505149469881345,0.02099340067792192,0.018560428092803317,-0.009674285977237197,-0.009055278622921973,1.0,100,0.06706903129816055
2024-04-19,-0.04766876687668767,0.6688316594702742,0.5536651139269326,0.5422971759486487,0.0016167847127505942,-0.001898458599689945,-0.006083281348439735,-0.005796159591739404,0.007700066061190329,0.0038977009920494595,0.8,100,0.054671481251716614
2024-04-26,0.054558110512306,0.30201064670818345,0.33796712859537814,0.3986633308769185,-0.007285065456023991,-0.010525166925592322,-0.012541217205261909,-0.01015620541135889,0.005256151749237917,-0.00036896151423343286,0.0,100,0.07590742409229279
2024-05-03,0.06417041704170416,0.3698137500560983,0.5044381876464449,0.5062777779584954,-0.0017246050203521385,0.00497594888331056,-0.007565080443445478,-0.006790022328740476,0.005840475423093339,0.011765971212051037,0.2,100,0.08738571405410767
2024-05-10,-0.021374137413741372,0.433216734150436,0.4816447375327062,0.4373511915203034,-0.008006636325789199,-0.005381337704732247,-0.009550192900627842,-0.008347176183566543,0.0015435565748386434,0.002965838478834296,0.4,100,0.08624456077814102
2024-05-17,0.11087341996275514,0.33192597681598063,0.4368651172663385,0.5555210832668784,-0.010398309255512226,0.0009701272409137818,-0.004793960533879757,-0.00438163884972557,-0.0056043487216324685,0.005351766090639351,0.2,100,0.08753906935453415
2024-05-24,0.0475007500750075,0.5893077592695981,0.5474362332899716,0.5750405158549682,0.017769429499820313,0.012974235737069333,0.022836975747653393,0.016356199029002136,-0.00506754624783308,-0.0033819632919328026,0.8,100,0.07018492370843887
2024-05-31,0.026642664266426638,0.46098548313628496,0.42559002745743385,0.5303677824233799,-0.005545574693340202,-0.006078666594979498,-0.02079533452700774,-0.011696726738541125,0.01524975983366754,0.005618060143561627,0.2,100,0.06308147311210632
2024-06-07,0.09069306930693069,0.5575649500589461,0.624020652262532,0.5719855270171482,-0.004689532796180307,-0.000695815111492024,-0.0088513147978808,-0.0018439667860407033,0.004161782001700493,0.0011481516745486793,0.6,100,0.07857706397771835
2024-06-14,0.04842484248424842,0.5316918194047092,0.4850438080237605,0.5673996518791116,-0.0011665339475224704,-0.0007001333936947676,0.00013923025950079645,0.00567416829500072,-0.0013057642070232669,-0.0063743016886954875,0.6,100,0.06074393540620804
2024-06-21,-0.08849684968496849,0.39747458298678984,0.39698584011576254,0.4359397345249271,-0.02020294464410746,-0.01245104979682533,0.009090874084573415,0.004453960661127207,-0.029293818728680872,-0.016905010457952535,0.2,100,0.0707276463508606
2024-06-28,-0.10162046690854891,0.5209980333101983,0.5387634944071056,0.46859531562534945,-0.004619142847093133,-0.001165752626360647,-0.012143736506417585,-0.0055362871446660526,0.007524593659324452,0.004370534518305405,0.4,100,0.07275310158729553
2024-07-05,0.09931022895402919,0.5032246325705753,0.4803138208442624,0.48924260544419457,0.00033359704908014174,-0.0010203252151165401,-0.005107416855367979,-0.002531364233522239,0.00544101390444812,0.0015110390184056987,0.6,100,0.07043980807065964
2024-07-12,-0.08864086408640863,0.3140650661204641,0.453249186304784,0.4067916021089777,-0.014825318234818289,-0.008804531902306713,-0.005968597159752518,-0.004763552048729756,-0.008856721075065771,-0.004040979853576957,0.2,100,0.07860180735588074
2024-07-19,0.1431023102310231,0.40517661627498697,0.46295545102481894,0.5550888241297578,0.007153569213931397,0.00964516920745336,0.010210235472745794,0.007362525158339447,-0.0030566662588143965,0.002282644049113913,0.6,100,0.08107137680053711
2024-07-26,-0.16898940590956918,0.4646065246322155,0.4141283611515987,0.4410746102281312,-0.017514109694550327,-0.011519958410583269,-0.0039778360952857,0.0023918360350387497,-0.013536273599264627,-0.013911794445622018,0.6,100,0.07059084624052048
2024-08-02,0.09676567656765676,0.3186664715017133,0.41130353337421877,0.5115833593117204,0.009950306988244582,0.00508652929654786,-0.00873383918001518,-0.009619833716304448,0.018684146168259762,0.014706363012852308,0.4,100,0.0744093507528305
2024-08-09,0.1935193519351935,0.49058956575921425,0.4850010274168872,0.5031295201595992,0.006571691688430947,0.002347206064171469,-0.014485916086333917,-0.0075555705818348366,0.021057607774764862,0.009902776646006306,0.6,100,0.08309262990951538
2024-08-16,0.17593212100925573,0.8331675319834845,0.8057751500133681,0.699304610410925,0.018873727424669764,0.017977061212864826,0.014849666826516927,0.008525900769107437,0.0040240605981528375,0.009451160443757389,1.0,100,0.08129292726516724
2024-08-23,0.1377621895061391,0.49014216702791646,0.5000035662550243,0.5205855735734267,-0.00117139323097016,0.0011248792571862806,-0.01019189858154769,-0.007725460447374271,0.00902050535057753,0.008850339704560551,0.4,100,0.0843307226896286
2024-08-30,-0.023378337833783375,0.5856254740336589,0.5413982300349894,0.579267267711515,-0.024116426919122393,-0.015978603112554106,0.011401337520156896,0.0004958080092716012,-0.03551776443927929,-0.016474411121825707,0.6,100,0.0843498632311821
2024-09-06,-0.07364558549563748,0.36322724741195594,0.423651251532941,0.46085374112403366,0.002490136048969029,0.003734379955128779,0.01081523752932588,0.008182669154266688,-0.008325101480356851,-0.004448289199137909,0.6,100,0.08331924676895142
2024-09-13,-0.09537353735373537,0.535731998998448,0.44924932287787805,0.5054207647321648,-0.017246054901524466,-0.014169663603031213,-0.0008475804526155725,-0.0003244794417585379,-0.016398474448908892,-0.013845184161272674,0.4,100,0.07847972214221954
2024-09-20,0.04080420283307544,0.44087108519357343,0.5069365089715541,0.4989300641407388,-0.0019439137640082603,0.0014332961286095873,0.003035035599398617,0.002735148447680901,-0.004978949363406877,-0.001301852319071314,0.2,100,0.07525985687971115
2024-09-27,0.13440184339047406,0.5848007593329912,0.487538534478506,0.502265235329946,0.007590884852235462,0.0027433475440589933,0.0034259442665207987,0.002419478768020876,0.004164940585714663,0.0003238687760381172,0.8,100,0.07202257961034775
2024-10-04,-0.08810186741549458,0.40669186340527996,0.39684256526946987,0.4193439255265832,0.0017050877658910755,0.0015769402119593465,-0.0042179015530407465,0.0019256504624325407,0.005922989318931822,-0.0003487102504731942,0.8,100,0.08561112731695175
2024-10-11,-0.16547453315962937,0.5537484825519646,0.46217579347174637,0.4810994378211928,-3.510344955376232e-05,-0.0065226368164063575,0.004159779913343389,0.00495824779726634,-0.0041948833628971515,-0.011480884613672696,0.6,100,0.0840684175491333
2024-10-18,-0.03511551155115511,0.431876481489713,0.44173610856745543,0.4087448949814659,-0.01062787768306427,-0.008934989295782656,-0.011460946005323349,-0.007238217072001503,0.0008330683222590798,-0.0016967722237811534,0.0,100,0.09081912785768509
2024-10-25,-0.13773777377737773,0.2916086864869704,0.2657555886252042,0.40382932296023544,-0.015918719524828144,-0.013755929813939107,0.0009677686683478924,0.0013856978308051768,-0.016886488193176036,-0.015141627644744284,0.2,100,0.07896192371845245
2024-11-01,-0.1163170275154575,0.2715613924008886,0.2966499818188511,0.36692714070379057,-0.0021180811442182285,-0.0013477685735486943,0.010677177723676,0.009532149935759075,-0.012795258867894229,-0.010879918509307768,0.6,100,0.1083785891532898
2024-11-08,-0.16874938118702168,0.2805355900054852,0.28959842626898513,0.3922584842634171,-0.01978394403079376,-0.023934023556834653,0.006934678745683656,-0.0012420947662718552,-0.026718622776477418,-0.0226919287905628,0.0,100,0.11550996452569962
2024-11-15,-0.12943294329432942,0.47375672663629287,0.4438132775772755,0.4633393936711793,-0.0036594873983810663,-0.010688282557793567,0.004867663140980718,0.006918247459430475,-0.008527150539361785,-0.017606530017224044,0.8,100,0.11111272871494293
2024-11-22,0.25219321932193217,0.6536716856376844,0.6093803976310282,0.6485330768462841,0.00914645451818052,0.006985813691385295,-0.017423161092680828,-0.014167570205958583,0.026569615610861345,0.021153383897343878,0.8,100,0.11847447603940964
2024-11-29,-0.14797479747974795,0.2842178497992073,0.36481929551071635,0.43393555599067185,-0.0232082751630024,-0.01097756667803437,-0.00949237798172333,-0.00876712407611226,-0.01371589718127907,-0.0022104426019221093,0.0,100,0.11342137306928635
2024-12-06,-0.006948778263665898,0.18237175223607985,0.3608969516513295,0.4100813489495153,-0.012868229875747695,-0.005367003474107284,-0.01061976576686228,-0.010270301757644533,-0.002248464108885415,0.004903298283537249,0.0,100,0.08883567154407501
2024-12-13,-0.10234623462346233,0.547027772194563,0.4954450117658823,0.5324232795573022,0.003985517638341126,0.0029260571085702107,0.01868432234771005,0.012551827095846319,-0.014698804709368926,-0.009625769987276107,0.8,100,0.08157700300216675
2024-12-20,0.04958910767831404,0.4804978176507414,0.5129405499193787,0.5502759276168177,0.0023910424385170568,0.002421411400068252,0.002790946224861214,0.013820059194211576,-0.0003999037863441574,-0.011398647794143325,0.6,100,0.050485897809267044
2024-12-27,0.1975163441843399,0.7980954817079828,0.8003190999203876,0.7166498583478272,0.01185972200439538,0.009017795936697048,-0.007417751873206697,-0.0047837275070808025,0.019277473877602078,0.01380152344377785,0.8,100,0.052783336490392685
2025-01-03,0.08757275727572755,0.4137043996359795,0.42103767910732015,0.5293101402714414,-0.01603092494629711,-0.016056389991754356,-0.019266562451114046,-0.006767381441991925,0.003235637504816938,-0.009289008549762431,0.2,100,0.05805115029215813
2025-01-10,-0.028058805880588056,0.3455900742454137,0.38677203191859,0.44261747797399287,-0.007685784274795453,-0.006461449797745237,0.003986416835811959,0.002961586561424085,-0.011672201110607412,-0.009423036359169322,0.0,100,0.07090017944574356
2025-01-17,0.1878604219394003,0.6301668537745485,0.6031447779928599,0.6351581683079047,0.01707045182330326,0.011498188721329426,0.013357998858410495,0.005024056747192746,0.0037124529648927644,0.00647413197413668,0.8,100,0.08674726635217667
2025-01-24,-0.011953195319531953,0.22597158587257396,0.340378831069055,0.44226139875848647,-0.03444134964119378,-0.019301957483063285,0.0009782318514605399,-0.003174420720563562,-0.03541958149265432,-0.016127536762499724,0.2,100,0.08228781074285507
2025-01-31,-0.003954407303970105,0.8346837890436881,0.6907907583278402,0.6612887107183787,0.023608868968539035,0.003439362585034492,-0.006467219673611288,-0.002511648791074272,0.030076088642150323,0.005951011376108764,0.8,100,0.0824258103966713
2025-02-07,-0.27175599086828245,0.37521458840982386,0.4410660542663775,0.4239209394333939,-0.01355218869301449,-0.01047765600699732,0.020156163158130916,0.006694071829355305,-0.0337083518511454,-0.017171727836352624,0.0,100,0.09247083961963654
2025-02-14,-0.007890812753749147,0.4535538342499941,0.4622704962933219,0.494880908563923,0.003594703563681509,0.0036595550198513386,-0.03447196739712764,-0.029732996874129235,0.03806667096080915,0.03339255189398058,0.4,100,0.09448225796222687
2025-02-21,0.1407020702070207,0.8920362399954195,0.8238267185159699,0.7575722605193951,0.016267162873840425,0.011378006442217255,0.003203366548781014,0.0023840757321083456,0.01306379632505941,0.00899393071010891,0.8,100,0.09775920957326889
2025-02-28,-0.17396939693969396,0.3515531228743434,0.44481356660877674,0.4229002196785409,0.008473370354015838,0.016215219102169953,0.02575834788629216,0.026471756959531478,-0.01728497753227632,-0.010256537857361525,0.4,100,0.08113463968038559
2025-03-07,0.12364873582034595,0.7193087862520807,0.5936227038406318,0.5858105073903135,0.01318433189325216,0.007824178856074077,0.013494806889744198,-0.007483187353234158,-0.000310474996492038,0.015307366209308235,1.0,100,0.0917634442448616
2025-03-14,0.06463265716397876,0.5970360842158972,0.5343180921636631,0.5677637612582259,-0.02004838561256566,-0.010756096999138157,0.002348458471083166,0.0030086066890964653,-0.022396844083648827,-0.013764703688234622,0.6,100,0.07145204395055771
2025-03-21,0.18730929285800732,0.5145681388961838,0.5347595520098569,0.5413781732313734,-0.004587715057892949,-0.004590489634277351,-0.008165015106578934,-0.007844384979180857,0.003577300048685985,0.0032538953449035065,0.2,100,0.06882667541503906
