model_id,model_type,objective,factor_set_name,refit_date,n_relevance_bins,train_start,train_end,validation_start,validation_end,number_of_train_dates,number_of_train_rows,number_of_validation_dates,number_of_validation_rows,number_of_features,feature_list,hyperparameters,train_mean_rank_ic,train_median_rank_ic,train_rank_ic_std,train_positive_ic_ratio,train_negative_ic_ratio,train_icir,train_annualized_icir,train_ndcg5,train_ndcg10,train_ndcg20,train_top5_return,train_top10_return,train_top5_bottom5_spread,train_top10_bottom10_spread,train_number_of_dates,validation_mean_rank_ic,validation_median_rank_ic,validation_rank_ic_std,validation_positive_ic_ratio,validation_negative_ic_ratio,validation_icir,validation_annualized_icir,validation_ndcg5,validation_ndcg10,validation_ndcg20,validation_top5_return,validation_top10_return,validation_top5_bottom5_spread,validation_top10_bottom10_spread,validation_number_of_dates,oos_mean_rank_ic,oos_median_rank_ic,oos_rank_ic_std,oos_positive_ic_ratio,oos_negative_ic_ratio,oos_icir,oos_annualized_icir,oos_ndcg5,oos_ndcg10,oos_ndcg20,oos_top5_return,oos_top10_return,oos_top5_bottom5_spread,oos_top10_bottom10_spread,oos_number_of_dates,train_validation_rank_ic_gap,train_oos_rank_ic_gap,train_ic_std,validation_ic_std,oos_ic_std,train_strong_validation_weak_flag
top_8_20240105,XGBRanker,rank:pairwise,top_8,2024-01-05,10,2021-01-08,2023-09-29,2023-10-06,2023-12-29,143,14300,13,1300,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]","{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.19943728252269302,0.21164116411641162,0.1291755470214854,0.9300699300699301,0.06993006993006994,1.5439244278138895,11.133397379848757,0.7948453318370857,0.7749230758284116,0.7586241841891604,0.014503472097392856,0.012486553517597865,0.015060929955216438,0.013167627713627878,143,-0.022407528829317905,-0.06631942778068697,0.16170754510093585,0.3076923076923077,0.6923076923076923,-0.1385682332591927,-0.9992297403329476,0.4857719152538896,0.4780554245707861,0.5096431129315752,-0.003541482083736213,-0.00376465830799174,-0.0008131735807430798,-0.0014411427697535244,13,-0.08140509763420552,-0.04194459069652417,0.12061460157557208,0.25,0.75,-0.6749190941297475,-4.8669108013490225,0.46933067010160845,0.4793435031632893,0.4986741068962392,-0.005262055903223458,-0.0037495690135695425,-0.0016009223033986353,-0.0010914722889677278,4,0.22184481135201092,0.28084238015689855,0.1291755470214854,0.16170754510093585,0.12061460157557208,False
top_8_20240202,XGBRanker,rank:pairwise,top_8,2024-02-02,10,2021-02-05,2023-10-27,2023-11-03,2024-01-26,143,14300,13,1300,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]","{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.19684400110752126,0.206024602460246,0.1320418123453244,0.9440559440559441,0.055944055944055944,1.4907702159731189,10.75009690725121,0.7947968052883588,0.772327914297174,0.758676220007152,0.013691803615983137,0.011837001769172866,0.014621141067406668,0.012411076669879785,143,-0.02154448478720011,-0.039196389998502286,0.15751138985683374,0.38461538461538464,0.6153846153846154,-0.13678048810808197,-0.9863381267133638,0.5079619811889471,0.4990266830138714,0.5141273180766984,-0.0011134625183196803,-0.001573484532457942,0.0017398694266762128,-0.0005901986463300711,13,-0.020082592080467372,-0.05512751275127512,0.11903439984844782,0.25,0.75,-0.16871250752753927,-1.216603193405294,0.5542948195565741,0.5596580655299398,0.5607826683211109,0.004076119615472026,0.003168905530358758,0.00034316651048141127,0.002652139134815642,4,0.21838848589472137,0.21692659318798863,0.1320418123453244,0.15751138985683374,0.11903439984844782,False
top_8_20240301,XGBRanker,rank:pairwise,top_8,2024-03-01,10,2021-03-05,2023-11-24,2023-12-01,2024-02-23,143,14300,13,1300,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]","{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.20201805129461403,0.2047404740474047,0.11671080750985659,0.9440559440559441,0.055944055944055944,1.7309283999046359,12.481902200026003,0.7893940116594945,0.7676731595224257,0.7509119875540619,0.013240810675711891,0.011478072663661219,0.014059462997961018,0.012662132200570109,143,-0.09678683761613227,-0.07900413742651048,0.10165187576820213,0.23076923076923078,0.7692307692307693,-0.9521402028707895,-6.865980645762633,0.4431148125019817,0.4375615287964161,0.47325241848363103,-0.0031403916465018566,-0.004514993710249778,-0.003403289872232943,-0.0037892908495680295,13,0.05372697269726971,0.1442904290429043,0.20126376809698926,0.6,0.4,0.2669480612694214,1.9249898455852028,0.557238155007416,0.5263982268377878,0.5268795303472309,-8.966180246065978e-05,-0.0011811807447184102,0.0017146613077024821,0.0012108709909133993,5,0.2988048889107463,0.1482910785973443,0.11671080750985659,0.10165187576820213,0.20126376809698926,False
top_8_20240405,XGBRanker,rank:pairwise,top_8,2024-04-05,10,2021-04-09,2023-12-29,2024-01-05,2024-03-28,143,14300,13,1300,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]","{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.18802613565554332,0.19308730873087307,0.12576527653989567,0.9370629370629371,0.06293706293706294,1.4950560347704327,10.781002386113336,0.7935692562320702,0.7675939097097306,0.7484936218006787,0.013079171428773214,0.0114341069161622,0.014532766532190029,0.012739056536359294,143,-0.03513533779421703,-0.018157815781578157,0.11981067961609847,0.38461538461538464,0.6153846153846154,-0.29325714457842067,-2.114707343347304,0.4468929324912722,0.45326718483997713,0.49668066312392994,-0.003390407764844912,-0.003068765058027285,-0.0024173346751439864,-0.0024281525899682833,13,0.02095889069458625,0.0034446718178091675,0.12061511920215491,0.5,0.5,0.17376669552892834,1.2530494613949805,0.478790434007341,0.4575089536329562,0.5123613648940797,-0.0007343352226018896,-0.0010409951391481202,0.0026020524732987067,0.002610659970359226,4,0.22316147344976034,0.16706724496095707,0.12576527653989567,0.11981067961609847,0.12061511920215491,False
top_8_20240503,XGBRanker,rank:pairwise,top_8,2024-05-03,10,2021-05-07,2024-01-26,2024-02-02,2024-04-26,143,14300,13,1300,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]","{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.20595047173824652,0.2252892324102526,0.12116950383846278,0.9440559440559441,0.055944055944055944,1.6996889911574578,12.256631619919746,0.7989081528797934,0.7709134397723206,0.7533174793957037,0.013398832952386062,0.010839675781357097,0.015342470581399157,0.012746388660783986,143,0.02171129383011943,-0.027806780678067803,0.13956233350848465,0.46153846153846156,0.5384615384615384,0.1555670021008892,1.1218096056899403,0.44463396091872553,0.4711790775148129,0.5085360331525846,-0.003687324381397218,-0.0021397416758260693,-0.0034298324045840176,-0.0017682280730937094,13,0.04556262278643041,0.0475007500750075,0.04861584430186911,0.8,0.2,0.9371969867173259,6.7582235816393235,0.4370499406856796,0.479194860638579,0.5209116702048051,-0.0015811391590346904,0.001492061512316386,0.002392379372426795,0.004463934526630702,5,0.18423917790812708,0.1603878489518161,0.12116950383846278,0.13956233350848465,0.04861584430186911,False
top_8_20240607,XGBRanker,rank:pairwise,top_8,2024-06-07,10,2021-06-11,2024-03-01,2024-03-08,2024-05-31,143,14300,13,1300,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]","{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.20314076501784786,0.22736273627362732,0.12280732504657742,0.9370629370629371,0.06293706293706294,1.654142087540806,11.928188227062837,0.792470717490122,0.7651445152416704,0.7506871281928688,0.013497825623749854,0.010911810412314794,0.016217118180265406,0.013488802470231908,143,0.02846052064756787,0.051209120912091205,0.11625700178031048,0.6923076923076923,0.3076923076923077,0.24480693817779156,1.7653279363787406,0.4739032390125442,0.49616990648683595,0.5287719958514998,-0.002355309461862009,0.001091129524726212,0.0016580879989972935,0.0034013118187804546,13,-0.012749851200584573,-0.020036003600360033,0.09674429365818465,0.5,0.5,-0.1317891807203858,-0.9503452972774825,0.5019323464401608,0.5112034487022901,0.5109800572616341,-0.007669538558725842,-0.003753187732093192,-0.0047283018186697985,-0.004440156488448485,4,0.17468024437027999,0.21589061621843245,0.12280732504657742,0.11625700178031048,0.09674429365818465,False
top_8_20240705,XGBRanker,rank:pairwise,top_8,2024-07-05,10,2021-07-09,2024-03-28,2024-04-05,2024-06-28,143,14300,13,1300,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]","{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.20486662366546243,0.21928592859285925,0.11744866248125536,0.9440559440559441,0.055944055944055944,1.744307847679056,12.578382770002131,0.8045624690957508,0.7739690037391108,0.7547213889725805,0.013607527654603444,0.010855958575145468,0.016108012244087776,0.012980323806676774,143,0.05901099806831827,0.06144614461446144,0.06630909219159942,0.7692307692307693,0.23076923076923078,0.88993825911244,6.4174360504541195,0.5591129746086616,0.5439422262308145,0.5607786463833678,0.0016117852270130955,0.00027812856315746596,0.005432040121634998,0.003835840273731077,13,-0.0038044327027313835,0.00533468243381028,0.14910568962009635,0.5,0.5,-0.025515006921765546,-0.18399133150048855,0.4217682098995605,0.45266170483136603,0.4730494104777653,-0.0062130654165892685,-0.0029249115801382904,-0.005002161757174169,-0.003539772807919841,4,0.14585562559714416,0.20867105636819383,0.11744866248125536,0.06630909219159942,0.14910568962009635,False
top_8_20240802,XGBRanker,rank:pairwise,top_8,2024-08-02,10,2021-08-06,2024-04-26,2024-05-03,2024-07-26,143,14300,13,1300,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]","{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.20619556872522052,0.2209180918091809,0.11773214639391252,0.9440559440559441,0.055944055944055944,1.7513956471610042,12.629493618926874,0.8063556661595712,0.7752400321289334,0.7569391767773718,0.013831063838752097,0.01163116238290302,0.015616686742144118,0.013439586022677957,143,0.039970504485398566,0.02322232223222322,0.07136778431536894,0.6923076923076923,0.3076923076923077,0.560063687962791,4.038676688950614,0.4832833993067119,0.5019429213160911,0.527417222827479,-0.002046850087638276,-0.0002866132735551282,-0.00127887202630847,-0.00047798392764967747,13,0.11612020023689233,0.1377621895061391,0.08641601408295957,0.8,0.2,1.34373474024637,9.689809013161142,0.5436382420611975,0.5486963014188976,0.5627740662334373,0.0020215811902505485,0.002111414543643266,0.00345371109049514,0.005287245737070168,5,0.16622506423982195,0.09007536848832819,0.11773214639391252,0.07136778431536894,0.08641601408295957,False
top_8_20240906,XGBRanker,rank:pairwise,top_8,2024-09-06,10,2021-09-10,2024-05-31,2024-06-07,2024-08-30,143,14300,13,1300,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]","{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.20188194635238726,0.2173423862667636,0.1256816003534504,0.958041958041958,0.04195804195804196,1.6062967513513595,11.583170601217113,0.8059603252858224,0.7835444955691772,0.7599243295759623,0.014327804330126967,0.011893318804771664,0.01673652041192145,0.014065648112573012,143,0.03949641926877211,0.06199819981998199,0.09258106443215064,0.7692307692307693,0.23076923076923078,0.42661444336403825,3.076360500805136,0.4556955021684091,0.48956489006415155,0.5294398401324248,-0.0033485964893111616,-0.0012386522465558359,-0.0004964750469921763,0.0003938920147965024,13,0.0015467308435441612,-0.016420691331281018,0.10683172571970433,0.5,0.5,0.014478197680737064,0.10440376822840258,0.4811577727342421,0.4668439044652198,0.49186745133172083,-0.002277236941082059,-0.0015646599938084632,-0.00638439617673949,-0.004817864225860944,4,0.16238552708361514,0.2003352155088431,0.1256816003534504,0.09258106443215064,0.10683172571970433,False
top_8_20241004,XGBRanker,rank:pairwise,top_8,2024-10-04,10,2021-10-08,2024-06-28,2024-07-05,2024-09-27,143,14300,13,1300,8,"[""macd_hist_atr"", ""ret_20d"", ""ema20_distance"", ""rsi14_centered"", ""body_range_ratio"", ""breakout_position_60"", ""signed_volume_pressure_20"", ""ret_1d""]","{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",0.20288086980508938,0.21263726372637265,0.12180129340430969,0.9440559440559441,0.055944055944055944,1.665670898351157,12.011323664106525,0.8157573054194049,0.7873111416556561,0.7620047110557783,0.014141435809818052,0.011764759186164805,0.016875595511200308,0.013630570195052361,143,0.03297105267156998,0.0322353202381296,0.09056897212075618,0.6153846153846154,0.38461538461538464,0.36404357805462856,2.6251555743586805,0.5272733899077213,0.5262403776912611,0.5478729349558187,0.0019841107776396505,0.0012732534181731227,0.0028772186042768416,0.0007312200387238506,13,-0.1066074214759142,-0.11291982059643615,0.05741075505562005,0.0,1.0,-1.8569242186874564,-13.39047097025706,0.42098137848348205,0.39162751398346896,0.4282543953223693,-0.006219153222888775,-0.006909153928542194,-0.0035813284787205714,-0.007166998683167832,4,0.16990981713351938,0.3094882912810036,0.12180129340430969,0.09056897212075618,0.05741075505562005,False
